N	F
128	9.9496
128	5.9697
128	11.9395
128	9.9496
128	6.9647
128	7.9597
128	10.9445
128	11.9395
128	9.9496
128	4.9748
256	7.9598
256	8.9667
256	9.9496
256	8.9546
256	3.9798
256	7.9597
256	4.9748
256	7.9597
256	5.9698
256	4.9748
512	7.0542
512	5.5902
512	5.1243
512	4.9748
512	5.0156
512	9.0891
512	9.201
512	8.9488
512	7.0554
512	4.2681
1024	8.4437
1024	8.9207
1024	5.2678
1024	8.9758
1024	8.8261
1024	8.859
1024	11.219
1024	4.4334
1024	8.3115
1024	8.497
2048	8.6622
2048	9.4851
2048	10.0154
2048	7.6464
2048	13.2905
2048	10.7998
2048	7.9028
2048	11.1835
2048	4.8079
2048	9.3818
128	22.884
128	9.9496
128	10.9445
128	12.9345
128	8.9546
128	7.9597
128	12.9345
128	12.9345
128	17.9092
128	8.9546
256	16.9143
256	6.9647
256	25.8689
256	13.9294
256	20.8941
256	19.8991
256	26.8638
256	19.8992
256	19.8991
256	39.7982
512	8.9546
512	20.8941
512	14.9244
512	26.8638
512	12.9344
512	7.9597
512	17.9092
512	10.9445
512	20.8941
512	21.8891
1024	14.9244
1024	19.8991
1024	21.889
1024	11.9395
1024	12.9345
1024	19.8992
1024	10.9445
1024	10.9445
1024	10.9445
1024	13.9294
2048	20.8941
2048	14.9244
2048	6.9647
2048	9.9496
2048	15.9193
2048	17.9092
2048	11.9395
2048	11.9395
2048	8.9546
2048	9.9496
